"state","state_id","alpha","beta"
"AK",1,-1.52592914386716,-0.535304380175415
"AL",2,1.1629989292372,-0.535304380175415
"AR",3,-0.543114932835802,-0.535304380175415
"AS",4,0.104234508539646,-0.535304380175415
"AZ",5,1.22777127178768,-0.535304380175415
"CA",6,-0.369224392904429,-0.535304380175415
"CO",7,0.621227149041279,-0.535304380175415
"CT",8,-0.548449985291838,-0.535304380175415
"DC",9,-0.680479948484492,-0.535304380175415
"DE",10,0.177452160410899,-0.535304380175415
"FL",11,-0.804211532678404,-0.535304380175415
"GA",12,1.66705104451447,-0.535304380175415
"HI",13,-1.02099619787803,-0.535304380175415
"IA",14,-1.8982941541006,-0.535304380175415
"ID",15,-0.248255746451534,-0.535304380175415
"IL",16,2.30731757335149,-0.535304380175415
"IN",17,1.70156730677448,-0.535304380175415
"KS",18,-1.24941308439464,-0.535304380175415
"KY",19,1.6251062170966,-0.535304380175415
"LA",20,2.12071860860871,-0.535304380175415
"MA",21,2.13865006507919,-0.535304380175415
"MD",22,-1.2402762894205,-0.535304380175415
"ME",23,0.100312740044298,-0.535304380175415
"MI",24,-1.5373436675207,-0.535304380175415
"MN",25,0.527695243382582,-0.535304380175415
"MO",26,1.72419591648186,-0.535304380175415
"MS",27,-1.65693376411997,-0.535304380175415
"MT",28,-1.37728120821084,-0.535304380175415
"NC",29,-0.92590535292017,-0.535304380175415
"ND",30,-0.7320640440767,-0.535304380175415
"NE",31,-0.667970959156748,-0.535304380175415
"NH",32,2.14642504718921,-0.535304380175415
"NJ",33,-1.70360937636313,-0.535304380175415
"NM",34,-1.79612831494845,-0.535304380175415
"NV",35,1.53183627119516,-0.535304380175415
"NY",36,0.605172820628799,-0.535304380175415
"OH",37,1.31862321903112,-0.535304380175415
"OK",38,2.32624724515265,-0.535304380175415
"OR",39,-0.264930655963559,-0.535304380175415
"PA",40,-0.332972349530583,-0.535304380175415
"PR",41,0.974291135557686,-0.535304380175415
"RI",42,-0.979747596769143,-0.535304380175415
"SC",43,0.965681993969126,-0.535304380175415
"SD",44,0.238646440929052,-0.535304380175415
"TN",45,-0.496039439069026,-0.535304380175415
"TX",46,-0.343023016700114,-0.535304380175415
"UT",47,-1.22711946362002,-0.535304380175415
"VA",48,2.14588841776188,-0.535304380175415
"VI",49,0.822031403015594,-0.535304380175415
"VT",50,-0.333531859721853,-0.535304380175415
"WA",51,0.830940336705055,-0.535304380175415
"WI",52,-1.11879928630525,-0.535304380175415
"WV",53,2.12029106621232,-0.535304380175415
"WY",54,1.64941928067494,-0.535304380175415
